Incident ID ,Offence Code,CR Number,Dispatch Date / Time,NIBRS Code,Victims,Crime Name,Police District Name,Block Address,City,State,Zip Code,Agency,Place,Sector,Beat,PRA,Address Number,Street Name,Street Type,Start_Date_Time,End_Date_Time,Latitude,Longitude,Police District Number,Location
201348951,2610,210040844,10/12/2021 15:55,26F,1,Identity Theft,GERMANTOWN,18400 BLK  CLEAR SMOKE RD,BOYDS,MD,20841,MCPD,Other/Unknown,N,5N2,464,18400,CLEAR SMOKE,RD,10/12/2021 16:06,,39.1597,-77.3011,5D,"(39.1597, -77.3011)"
201330881,2404,210018344,05/15/2021 05:04:01 PM,240,1,Motor Vehicle Theft,BETHESDA,5300 BLK  WESTPATH WAY,BETHESDA,MD,20816,MCPD,Street - Residential,E,2.00E+01,21,5300,WESTPATH,WAY,05/15/2021 03:00:00 AM,05/15/2021 10:00:00 AM,38.95571034,-77.12476064,2D,"(38.9557, -77.1248)"
201348953,2399,210040388,10/09/2021 17:46,23H,1,All other Larceny,BETHESDA,7000 BLK  ARLINGTON RD,BETHESDA,MD,20814,MCPD,Parking Garage - Residential,D,2D2,31,7000,ARLINGTON,RD,08/15/2021 12:00:00 PM,10/09/2021 4:20,38.97927,-77.0987,2D,"(38.9793, -77.0987)"
201317477,2404,210003049,01/24/2021 10:10:46 PM,240,1,Motor Vehicle Theft,MONTGOMERY VILLAGE,18200 BLK  FLOWER HILL WAY,GAITHERSBURG,MD,20879,MCPD,Parking Lot - Commercial,R,6R3,420,18200,FLOWER HILL,WAY,01/24/2021 09:30:00 PM,01/24/2021 10:00:00 PM,39.15465757,-77.16378367,6D,"(39.1547, -77.1638)"
201363472,2610,220005485,02/08/2022 14:57,26F,1,Identity Theft,MONTGOMERY VILLAGE,9700 BLK  KEY WEST AVE,ROCKVILLE,MD,20850,MCPD,Other/Unknown,P,6P1,751,9700,KEY WEST,AVE,01/12/2022 0:00,,39.10392,-77.2045,6D,"(39.1039, -77.2045)"
201347507,2902,210038087,09/26/2021 12:42:08 PM,290,1,Destruction/Damage/Vandalism of Property,SILVER SPRING,900 BLK  BONIFANT ST,SILVER SPRING,MD,20910,MCPD,Restaurant,G,3G1,670,900,BONIFANT,ST,09/26/2021 12:42:00 PM,,38.99411,-77.0243,3D,"(38.9941, -77.0243)"
201347525,2316,210038987,10/01/2021 15:33,23H,1,All other Larceny,BETHESDA,4400 BLK  CHESTNUT ST,BETHESDA,MD,20814,MCPD,Other/Unknown,D,2D2,42,4400,CHESTNUT,ST,10/01/2021 15:47,,38.99347,-77.0878,2D,"(38.9935, -77.0878)"
201339631,2303,210029103,07/27/2021 02:53:05 PM,23C,1,Shoplifting,BETHESDA,5300 BLK  WESTERN AVE,CHEVY CHASE,MD,20815,MCPD,Retail - Beauty/Barber Shop,E,2.00E+01,5,5300,WESTERN,AVE,07/27/2021 02:53:00 PM,,38.9601575,-77.08656913,2D,"(38.9602, -77.0866)"
201347525,2501,210038987,10/01/2021 15:33,250,1,Counterfeiting/Forgery,BETHESDA,4400 BLK  CHESTNUT ST,BETHESDA,MD,20814,MCPD,Other/Unknown,D,2D2,42,4400,CHESTNUT,ST,10/01/2021 15:47,,38.99347,-77.0878,2D,"(38.9935, -77.0878)"
201347529,2316,210038997,10/01/2021 15:58,23H,1,All other Larceny,MONTGOMERY VILLAGE,400 BLK  PLACID MEW,GAITHERSBURG,MD,20878,MCPD,Other/Unknown,P,6P2,450,400,PLACID,MEW,08/21/2021 04:24:00 PM,,0,0,6D,"(0.0, 0.0)"
201347529,2501,210038997,10/01/2021 15:58,250,1,Counterfeiting/Forgery,MONTGOMERY VILLAGE,400 BLK  PLACID MEW,GAITHERSBURG,MD,20878,MCPD,Other/Unknown,P,6P2,450,400,PLACID,MEW,08/21/2021 04:24:00 PM,,0,0,6D,"(0.0, 0.0)"
201340025,2305,210029666,07/31/2021 02:13:20 AM,23F,1,Theft From Motor Vehicle,GERMANTOWN,12600 BLK  BLACK SADDLE LA,GERMANTOWN,MD,20874,MCPD,Parking Lot - Residential,N,5N1,595,12600,BLACK SADDLE,LA,04/04/2021 17:00,04/04/2021 20:00,0,0,5D,"(0.0, 0.0)"
201340025,2902,210029666,07/31/2021 02:13:20 AM,290,1,Destruction/Damage/Vandalism of Property,GERMANTOWN,12600 BLK  BLACK SADDLE LA,GERMANTOWN,MD,20874,MCPD,Parking Lot - Residential,N,5N1,595,12600,BLACK SADDLE,LA,04/04/2021 17:00,04/04/2021 20:00,0,0,5D,"(0.0, 0.0)"
